Date,Particulars,Vch Type,Debit,Credit
1-6-2017,Salary Payable A/c,Payment,16530,
1-6-2017,Salary Payable A/c,Payment,6178,
1-6-2017,Salary Payable A/c,Payment,9125,
1-6-2017,Salary Payable A/c,Payment,16970,
1-6-2017,ASHISH GUPTA IMPREST A/C-(MOHALI),Payment,21000,
1-6-2017,Salary Payable A/c,Payment,13218,
1-6-2017,CAR LOAN-BALENO (ICICI BANK),Payment,13252,
2-6-2017,Salary Payable A/c,Payment,42386,
2-6-2017,Salary Payable A/c,Payment,28713,
2-6-2017,Salary Payable A/c,Payment,27919,
2-6-2017,Salary Payable A/c,Payment,24647,
2-6-2017,Salary Payable A/c,Payment,65132,
2-6-2017,Salary Payable A/c,Payment,12958,
2-6-2017,Salary Payable A/c,Payment,12951,
2-6-2017,Salary Payable A/c,Payment,25039,
2-6-2017,Salary Payable A/c,Payment,17232,
2-6-2017,Salary Payable A/c,Payment,17122,
2-6-2017,Salary Payable A/c,Payment,16178,
2-6-2017,Salary Payable A/c,Payment,15579,
2-6-2017,Salary Payable A/c,Payment,17299,
2-6-2017,Salary Payable A/c,Payment,18141,
2-6-2017,Salary Payable A/c,Payment,16508,
2-6-2017,Salary Payable A/c,Payment,69507,
2-6-2017,Salary Payable A/c,Payment,38569,
2-6-2017,Salary Payable A/c,Payment,50544,
2-6-2017,EHI INTERNATIONAL PVT. LTD.,Payment,300000,
2-6-2017,Contract Fees Payable,Payment,16000,
2-6-2017,Vodafone P2p Collection Mohali,Payment,3250,
2-6-2017,KRISHNA IMPREST (NOIDA),Payment,10000,
2-6-2017,Sagarbhai Kalyanbhai Rayka,Payment,415800,
2-6-2017,Salary Payable A/c,Payment,61599,
2-6-2017,Salary Payable A/c,Payment,24173,
2-6-2017,Salary Payable A/c,Payment,58337,
2-6-2017,Salary Payable A/c,Payment,30714,
2-6-2017,Salary Payable A/c,Payment,33472,
2-6-2017,Salary Payable A/c,Payment,35800,
2-6-2017,Salary Payable A/c,Payment,24964,
2-6-2017,CAR LOAN WAGON-R-34533877392,Payment,7515,
